Date,TWTR,KO,GM
2014-08-20,45.060001,32.143532,27.149527
2014-08-21,45.110001,32.268196,27.204565
2014-08-22,45.98,32.042225,26.921511
2014-08-25,46.099998,32.268196,27.2596
2014-08-26,48.169998,32.41626,27.401129
2014-08-27,48.060001,32.41626,27.291048
2014-08-28,49.43,32.439632,27.267466
2014-08-29,49.75,32.509781,27.361822
2014-09-02,51.02,32.447426,27.361822
2014-09-03,49.330002,32.556526,27.102354
2014-09-04,50.240002,32.626644,27.228159
2014-09-05,50.700001,32.603271,27.188839
2014-09-08,52.0,32.556526,26.363974
2014-09-09,50.610001,32.68121,26.229137
2014-09-10,52.91,32.860416,26.403631
2014-09-11,52.639999,32.927143,26.657438
2014-09-12,52.110001,32.542526,26.387764
2014-09-15,49.380001,32.57394,26.6733
2014-09-16,50.830002,32.683815,26.736752
2014-09-17,50.700001,32.660275,26.847792
2014-09-18,50.880001,32.801556,26.990553
2014-09-19,53.0,33.005623,26.919168
2014-09-22,51.939999,33.139069,26.522604
2014-09-23,52.169998,32.880051,26.348114
2014-09-24,52.959999,33.17831,26.689163
2014-09-25,51.450001,32.793705,26.070509
2014-09-26,51.889999,33.123375,26.308455
2014-09-29,51.740002,33.162609,25.554976
2014-09-30,51.580002,33.484432,25.33289
2014-10-01,50.060001,33.547218,25.769117
2014-10-02,51.849998,33.484432,26.316389
2014-10-03,53.939999,33.751305,26.776409
2014-10-06,53.490002,34.222248,26.768475
2014-10-07,53.529999,34.473442,25.198057
2014-10-08,55.419998,34.967926,25.523245
2014-10-09,55.290001,34.434177,24.611132
2014-10-10,50.400002,34.905117,24.024214
2014-10-13,48.490002,34.591156,23.627642
2014-10-14,48.580002,34.253647,23.881447
2014-10-15,49.990002,33.931831,23.548326
2014-10-16,48.23,33.40593,23.746607
2014-10-17,48.77,33.657116,23.984554
2014-10-20,50.700001,33.978935,24.063868
2014-10-21,50.630001,31.930292,24.460432
2014-10-22,49.080002,31.883205,24.833212
2014-10-23,49.669998,32.071579,24.531822
2014-10-24,49.950001,32.205025,23.825926
2014-10-27,48.560001,31.993103,23.857658
2014-10-28,43.779999,31.836117,24.722174
2014-10-29,42.080002,32.15007,24.365263
2014-10-30,41.799999,32.495434,24.412848
2014-10-31,41.470001,32.872192,24.9046
2014-11-03,40.209999,32.817261,24.730106
2014-11-04,40.900002,32.825111,24.444572
2014-11-05,40.369999,33.209709,24.37319
2014-11-06,40.84,33.194016,24.880804
2014-11-07,40.310001,33.217564,25.055296
2014-11-10,39.59,33.272503,24.68252
2014-11-11,39.59,33.366692,24.864939
2014-11-12,42.540001,33.523674,24.920456
2014-11-13,40.040001,33.586468,25.102882
2014-11-14,41.849998,33.539379,25.213923
2014-11-17,40.470001,33.688507,25.626356
2014-11-18,40.610001,34.167305,25.594629
2014-11-19,39.709999,34.7089,25.499449
2014-11-20,39.810001,34.732441,25.483591
2014-11-21,40.029999,34.928677,25.483591
2014-11-24,40.189999,34.748138,25.531176
2014-11-25,39.759998,34.87373,25.562904
2014-11-26,41.130001,35.004143,25.435999
2014-11-28,41.740002,35.43092,26.514669
2014-12-01,39.040001,35.209629,26.12603
2014-12-02,38.91,35.201725,26.379839
2014-12-03,39.060001,34.616875,26.681229
2014-12-04,38.790001,34.379757,26.245003
2014-12-05,38.490002,34.403477,26.911238
2014-12-08,36.290001,34.095234,26.151039
2014-12-09,37.049999,33.225876,26.255068
2014-12-10,36.349998,32.87812,25.582884
2014-12-11,36.700001,32.822796,25.75893
2014-12-12,37.099998,32.33279,25.262796
2014-12-15,36.849998,32.064064,24.806675
2014-12-16,35.130001,31.921812,24.590618
2014-12-17,35.57,32.838608,24.92671
