Country,Continent,Life_expectancy,GDP_per_capita,Population
United States,North America,78.74146341,56207.03675,320896618.0
Australia,Oceania,82.45121951,56554.03876,23789338.0
Fiji,Oceania,70.25626829,4921.896209,892149.0
Kiribati,Oceania,66.14785366,1424.4836109999999,112407.0
Marshall Islands,Oceania,,3385.9040649999997,52994.0
Micronesia,Oceania,69.2342439,3016.011223,104433.0
Nauru,Oceania,,8052.888384999999,12475.0
New Zealand,Oceania,81.45682927,38201.89037,4595700.0
Palau,Oceania,,13500.5637,21288.0
Papua New Guinea,Oceania,62.77668293,,7919825.0
Samoa,Oceania,73.76487805,4149.363444,193759.0
Solomon Islands,Oceania,68.1462439,1922.0413879999999,587482.0
Tonga,Oceania,72.94404878,4093.7753869999997,106364.0
Tuvalu,Oceania,,2970.0279739999996,11001.0
Vanuatu,Oceania,72.15736585,2805.83414,264603.0
Argentina,South America,76.33421951,13467.102359999999,43417765.0
Bolivia,South America,68.73960976,3077.026199,10724705.0
Brazil,South America,74.67587805,8757.206202,205962108.0
Chile,South America,81.78756098,13653.22673,17762681.0
Colombia,South America,74.18202439,6044.5255560000005,48228697.0
Ecuador,South America,76.10292683,6205.062224,16144368.0
Guyana,South America,66.5075122,4136.6899189999995,768514.0
Paraguay,South America,73.02563415,4109.367724000001,6639119.0
Peru,South America,74.78073171,6030.343259,31376671.0
Suriname,South America,71.29417073,8818.982565999999,553208.0
Uruguay,South America,77.13821951,15524.84247,3431552.0
Venezuela,South America,74.40960976,,31155134.0
